ct,earfcn_dl,earfcn_ul,rf_state,band,bandwidth,plmn,tac,cell_id,esm_cause,drx,rsrp,rsrq,rssi,l2w,ri,cqi,status,sub_status,rrc,svc,sinr,tx_pwr,tmsi,ip,avg_rsrp,antbar,imsi,missdn,time_boot_ms,lat,lon,alt,vx,vy,vz,hdg,relative_alt
20220831T042758,1350,19350,RXTX,3,20,45005,6454,4377-55(447),0,640,-59,-7,-33,-,0,0,SRV/REGISTERED,NORMAL_SERVICE,CONNECTED,CS_PS,26.8,-24,e038356d,27.177.169.226,-59,4,4.50E+14,1227091531,69656,377452418,1273504657,255810,0,0,0,65535,-297
20220831T042800,1350,19350,RXTX,3,20,45005,6454,4377-55(447),0,640,-59,-7,-33,-,0,0,SRV/REGISTERED,NORMAL_SERVICE,CONNECTED,CS_PS,23.4,-25,e038356d,27.177.169.226,-59,4,4.50E+14,1227091531,71985,377452411,1273504660,255800,0,0,0,65535,-300
20220831T042803,1350,19350,RXTX,3,20,45005,6454,4377-55(447),0,640,-59,-7,-33,-,0,0,SRV/REGISTERED,NORMAL_SERVICE,CONNECTED,CS_PS,26.8,-22,e038356d,27.177.169.226,-59,4,4.50E+14,1227091531,73983,377452408,1273504662,255820,0,0,0,65535,-281
20220831T042805,1350,19350,RXTX,3,20,45005,6454,4377-55(447),0,640,-59,-7,-33,-,0,0,SRV/REGISTERED,NORMAL_SERVICE,CONNECTED,CS_PS,26.8,-26,e038356d,27.177.169.226,-59,4,4.50E+14,1227091531,76316,377452409,1273504664,255840,0,0,0,65535,-260
20220831T042807,1350,19350,RXTX,3,20,45005,6454,4377-55(447),0,640,-59,-7,-33,-,0,0,SRV/REGISTERED,NORMAL_SERVICE,CONNECTED,CS_PS,22.6,-25,e038356d,27.177.169.226,-59,4,4.50E+14,1227091531,78313,377452413,1273504664,255850,0,0,0,65535,-259
20220831T042809,1350,19350,RXTX,3,20,45005,6454,4377-55(447),0,640,-59,-7,-33,-,0,0,SRV/REGISTERED,NORMAL_SERVICE,CONNECTED,CS_PS,24.4,-21,e038356d,27.177.169.226,-59,4,4.50E+14,1227091531,80643,377452416,1273504663,255800,0,0,0,65535,-301
20220831T042811,1350,19350,RXTX,3,20,45005,6454,4377-55(447),0,640,-59,-7,-33,-,0,0,SRV/REGISTERED,NORMAL_SERVICE,CONNECTED,CS_PS,29.4,-38,e038356d,27.177.169.226,-59,4,4.50E+14,1227091531,82641,377452418,1273504663,255800,0,0,0,65535,-308
20220831T042813,1350,19350,RXTX,3,20,45005,6454,4377-55(447),0,640,-59,-7,-33,-,0,0,SRV/REGISTERED,NORMAL_SERVICE,CONNECTED,CS_PS,29.4,-26,e038356d,27.177.169.226,-59,4,4.50E+14,1227091531,84641,377452419,1273504662,255820,0,0,0,65535,-287
20220831T042815,1350,19350,RXTX,3,20,45005,6454,4377-55(447),0,640,-59,-7,-33,-,0,0,SRV/REGISTERED,NORMAL_SERVICE,CONNECTED,CS_PS,29.6,-26,e038356d,27.177.169.226,-59,4,4.50E+14,1227091531,86971,377452419,1273504663,255800,0,0,0,65535,-308
20220831T042817,1350,19350,RXTX,3,20,45005,6454,4377-55(447),0,640,-59,-7,-33,-,0,0,SRV/REGISTERED,NORMAL_SERVICE,CONNECTED,CS_PS,24.4,-25,e038356d,27.177.169.226,-59,4,4.50E+14,1227091531,88968,377452419,1273504664,255790,0,0,0,65535,-317
20220831T042820,1350,19350,RXTX,3,20,45005,6454,4377-55(447),0,640,-59,-7,-33,-,0,0,SRV/REGISTERED,NORMAL_SERVICE,CONNECTED,CS_PS,24.4,-25,e038356d,27.177.169.226,-59,4,4.50E+14,1227091531,91300,377452417,1273504669,255790,0,0,0,65535,-312
20220831T042822,1350,19350,RXTX,3,20,45005,6454,4377-55(447),0,640,-59,-7,-33,-,0,0,SRV/REGISTERED,NORMAL_SERVICE,CONNECTED,CS_PS,27.4,-25,e038356d,27.177.169.226,-59,4,4.50E+14,1227091531,93298,377452415,1273504673,255770,0,0,0,65535,-339
20220831T042824,1350,19350,RXTX,3,20,45005,6454,4377-55(447),0,640,-59,-7,-33,-,0,0,SRV/REGISTERED,NORMAL_SERVICE,CONNECTED,CS_PS,29,-27,e038356d,27.177.169.226,-59,4,4.50E+14,1227091531,95629,377452414,1273504679,255740,0,0,0,65535,-366
20220831T042826,1350,19350,RXTX,3,20,45005,6454,4377-55(447),0,640,-59,-7,-33,-,0,0,SRV/REGISTERED,NORMAL_SERVICE,CONNECTED,CS_PS,29,-26,e038356d,27.177.169.226,-59,4,4.50E+14,1227091531,97628,377452414,1273504683,255700,0,0,0,65535,-409
20220831T042828,1350,19350,RXTX,3,20,45005,6454,4377-55(447),0,640,-59,-7,-33,-,0,0,SRV/REGISTERED,NORMAL_SERVICE,CONNECTED,CS_PS,29,-26,e038356d,27.177.169.226,-59,4,4.50E+14,1227091531,99625,377452418,1273504686,255700,0,0,0,65535,-401
20220831T042830,1350,19350,RXTX,3,20,45005,6454,4377-55(447),0,640,-59,-7,-33,-,0,0,SRV/REGISTERED,NORMAL_SERVICE,CONNECTED,CS_PS,28.4,-25,e038356d,27.177.169.226,-59,4,4.50E+14,1227091531,101955,377452420,1273504687,255690,0,0,0,65535,-417
20220831T042833,1350,19350,RXTX,3,20,45005,6454,4377-55(447),0,640,-59,-7,-33,-,0,0,SRV/REGISTERED,NORMAL_SERVICE,CONNECTED,CS_PS,26,-13,e038356d,27.177.169.226,-59,4,4.50E+14,1227091531,103953,377452424,1273504687,255670,0,0,0,65535,-434
20220831T042835,1350,19350,RXTX,3,20,45005,6454,4377-55(447),0,640,-59,-7,-33,-,0,0,SRV/REGISTERED,NORMAL_SERVICE,CONNECTED,CS_PS,26,-26,e038356d,27.177.169.226,-59,4,4.50E+14,1227091531,106286,377452429,1273504686,255640,0,0,0,65535,-462
20220831T042837,1350,19350,RXTX,3,20,45005,6454,4377-55(447),0,640,-59,-7,-33,-,0,0,SRV/REGISTERED,NORMAL_SERVICE,CONNECTED,CS_PS,29,-25,e038356d,27.177.169.226,-59,4,4.50E+14,1227091531,108283,377452435,1273504685,255620,0,0,0,65535,-484
20220831T042839,1350,19350,RXTX,3,20,45005,6454,4377-55(447),0,640,-59,-7,-33,-,0,0,SRV/REGISTERED,NORMAL_SERVICE,CONNECTED,CS_PS,29.4,-26,e038356d,27.177.169.226,-59,4,4.50E+14,1227091531,110613,377452441,1273504684,255630,0,0,0,65535,-477
20220831T042841,1350,19350,RXTX,3,20,45005,6454,4377-55(447),0,640,-59,-7,-33,-,0,0,SRV/REGISTERED,NORMAL_SERVICE,CONNECTED,CS_PS,24.6,-40,e038356d,27.177.169.226,-59,4,4.50E+14,1227091531,112611,377452447,1273504681,255620,0,0,0,65535,-485
20220831T042843,1350,19350,RXTX,3,20,45005,6454,4377-55(447),0,640,-59,-7,-33,-,0,0,SRV/REGISTERED,NORMAL_SERVICE,CONNECTED,CS_PS,24.6,-26,e038356d,27.177.169.226,-59,4,4.50E+14,1227091531,114943,377452454,1273504676,255630,0,0,0,65535,-474
20220831T042845,1350,19350,RXTX,3,20,45005,6454,4377-55(447),0,640,-59,-7,-33,-,0,0,SRV/REGISTERED,NORMAL_SERVICE,CONNECTED,CS_PS,27.8,-28,e038356d,27.177.169.226,-59,4,4.50E+14,1227091531,116941,377452460,1273504672,255640,0,0,0,65535,-462
20220831T042847,1350,19350,RXTX,3,20,45005,6454,4377-55(447),0,640,-59,-7,-33,-,0,0,SRV/REGISTERED,NORMAL_SERVICE,CONNECTED,CS_PS,23.6,-37,e038356d,27.177.169.226,-59,4,4.50E+14,1227091531,118938,377452462,1273504671,255640,0,0,0,65535,-460
20220831T042850,1350,19350,RXTX,3,20,45005,6454,4377-55(447),0,640,-59,-7,-33,-,0,0,SRV/REGISTERED,NORMAL_SERVICE,CONNECTED,CS_PS,23.6,-27,e038356d,27.177.169.226,-59,4,4.50E+14,1227091531,121270,377452464,1273504667,255680,0,0,0,65535,-426
20220831T042852,1350,19350,RXTX,3,20,45005,6454,4377-55(447),0,640,-59,-7,-33,-,0,0,SRV/REGISTERED,NORMAL_SERVICE,CONNECTED,CS_PS,26.8,-27,e038356d,27.177.169.226,-59,4,4.50E+14,1227091531,123268,377452468,1273504665,255660,0,0,0,65535,-445
20220831T042854,1350,19350,RXTX,3,20,45005,6454,4377-55(447),0,640,-59,-7,-33,-,0,0,SRV/REGISTERED,NORMAL_SERVICE,CONNECTED,CS_PS,29.6,-28,e038356d,27.177.169.226,-59,4,4.50E+14,1227091531,125598,377452474,1273504662,255680,0,0,0,65535,-425
20220831T042856,1350,19350,RXTX,3,20,45005,6454,4377-55(447),0,640,-59,-7,-33,-,0,0,SRV/REGISTERED,NORMAL_SERVICE,CONNECTED,CS_PS,28.6,-27,e038356d,27.177.169.226,-59,4,4.50E+14,1227091531,127598,377452475,1273504661,255720,0,0,0,65535,-384
20220831T042858,1350,19350,RXTX,3,20,45005,6454,4377-55(447),0,640,-59,-7,-33,-,0,0,SRV/REGISTERED,NORMAL_SERVICE,CONNECTED,CS_PS,28.6,-28,e038356d,27.177.169.226,-59,4,4.50E+14,1227091531,129596,377452477,1273504659,255730,0,0,0,65535,-378
20220831T042900,1350,19350,RXTX,3,20,45005,6454,4377-55(447),0,640,-59,-7,-33,-,0,0,SRV/REGISTERED,NORMAL_SERVICE,CONNECTED,CS_PS,29.2,-28,e038356d,27.177.169.226,-59,4,4.50E+14,1227091531,131926,377452478,1273504656,255710,0,0,0,65535,-397
20220831T042902,1350,19350,RXTX,3,20,45005,6454,4377-55(447),0,640,-59,-7,-33,-,0,0,SRV/REGISTERED,NORMAL_SERVICE,CONNECTED,CS_PS,26.2,-26,e038356d,27.177.169.226,-59,4,4.50E+14,1227091531,133923,377452476,1273504655,255680,0,0,0,65535,-428
20220831T042905,1350,19350,RXTX,3,20,45005,6454,4377-55(447),0,640,-59,-7,-33,-,0,0,SRV/REGISTERED,NORMAL_SERVICE,CONNECTED,CS_PS,26.2,-26,e038356d,27.177.169.226,-59,4,4.50E+14,1227091531,136255,377452472,1273504655,255660,0,0,0,65535,-444
20220831T042907,1350,19350,RXTX,3,20,45005,6454,4377-55(447),0,640,-59,-7,-33,-,0,0,SRV/REGISTERED,NORMAL_SERVICE,CONNECTED,CS_PS,26,-26,e038356d,27.177.169.226,-59,4,4.50E+14,1227091531,138253,377452468,1273504654,255680,0,0,0,65535,-429
20220831T042909,1350,19350,RXTX,3,20,45005,6454,4377-55(447),0,640,-59,-7,-33,-,0,0,SRV/REGISTERED,NORMAL_SERVICE,CONNECTED,CS_PS,27.6,-26,e038356d,27.177.169.226,-59,4,4.50E+14,1227091531,140583,377452461,1273504651,255660,0,0,0,65535,-448
20220831T042911,1350,19350,RXTX,3,20,45005,6454,4377-55(447),0,640,-59,-7,-33,-,0,0,SRV/REGISTERED,NORMAL_SERVICE,CONNECTED,CS_PS,26.6,-25,e038356d,27.177.169.226,-59,4,4.50E+14,1227091531,142581,377452458,1273504647,255670,0,0,0,65535,-435
20220831T042913,1350,19350,RXTX,3,20,45005,6454,4377-55(447),0,640,-59,-7,-33,-,0,0,SRV/REGISTERED,NORMAL_SERVICE,CONNECTED,CS_PS,26.6,-26,e038356d,27.177.169.226,-59,4,4.50E+14,1227091531,144581,377452454,1273504645,255720,0,0,0,65535,-382
20220831T042915,1350,19350,RXTX,3,20,45005,6454,4377-55(447),0,640,-59,-7,-33,-,0,0,SRV/REGISTERED,NORMAL_SERVICE,CONNECTED,CS_PS,25,-27,e038356d,27.177.169.226,-59,4,4.50E+14,1227091531,146910,377452450,1273504641,255690,0,0,0,65535,-417
20220831T042917,1350,19350,RXTX,3,20,45005,6454,4377-55(447),0,640,-59,-7,-33,-,0,0,SRV/REGISTERED,NORMAL_SERVICE,CONNECTED,CS_PS,27,-27,e038356d,27.177.169.226,-59,4,4.50E+14,1227091531,148908,377452447,1273504636,255710,0,0,0,65535,-399
20220831T042920,1350,19350,RXTX,3,20,45005,6454,4377-55(447),0,640,-59,-7,-33,-,0,0,SRV/REGISTERED,NORMAL_SERVICE,CONNECTED,CS_PS,27,-27,e038356d,27.177.169.226,-59,4,4.50E+14,1227091531,151239,377452440,1273504635,255680,0,0,0,65535,-426
20220831T042922,1350,19350,RXTX,3,20,45005,6454,4377-55(447),0,640,-59,-7,-33,-,0,0,SRV/REGISTERED,NORMAL_SERVICE,CONNECTED,CS_PS,28.6,-28,e038356d,27.177.169.226,-59,4,4.50E+14,1227091531,153239,377452437,1273504633,255670,0,0,0,65535,-434
20220831T042924,1350,19350,RXTX,3,20,45005,6454,4377-55(447),0,640,-59,-7,-33,-,0,0,SRV/REGISTERED,NORMAL_SERVICE,CONNECTED,CS_PS,24.4,-28,e038356d,27.177.169.226,-59,4,4.50E+14,1227091531,155568,377452436,1273504627,255640,0,0,0,65535,-462
20220831T042926,1350,19350,RXTX,3,20,45005,6454,4377-55(447),0,640,-59,-7,-33,-,0,0,SRV/REGISTERED,NORMAL_SERVICE,CONNECTED,CS_PS,27.4,-25,e038356d,27.177.169.226,-59,4,4.50E+14,1227091531,157566,377452436,1273504623,255620,0,0,0,65535,-485
20220831T042928,1350,19350,RXTX,3,20,45005,6454,4377-55(447),0,640,-59,-7,-33,-,0,0,SRV/REGISTERED,NORMAL_SERVICE,CONNECTED,CS_PS,27.4,-25,e038356d,27.177.169.226,-59,4,4.50E+14,1227091531,159566,377452436,1273504619,255630,0,0,0,65535,-471
20220831T042930,1350,19350,RXTX,3,20,45005,6454,4377-55(447),0,640,-59,-7,-33,-,0,0,SRV/REGISTERED,NORMAL_SERVICE,CONNECTED,CS_PS,23.6,-17,e038356d,27.177.169.226,-59,4,4.50E+14,1227091531,161895,377452436,1273504620,255650,0,0,0,65535,-459
20220831T042932,1350,19350,RXTX,3,20,45005,6454,4377-55(447),0,640,-59,-7,-33,-,0,0,SRV/REGISTERED,NORMAL_SERVICE,CONNECTED,CS_PS,24.6,-22,e038356d,27.177.169.226,-59,4,4.50E+14,1227091531,163893,377452438,1273504620,255650,0,0,0,65535,-455
20220831T042935,1350,19350,RXTX,3,20,45005,6454,4377-55(447),0,640,-59,-7,-33,-,0,0,SRV/REGISTERED,NORMAL_SERVICE,CONNECTED,CS_PS,24.6,-25,e038356d,27.177.169.226,-59,4,4.50E+14,1227091531,166226,377452438,1273504621,255580,0,0,0,65535,-524
20220831T042937,1350,19350,RXTX,3,20,45005,6454,4377-55(447),0,640,-59,-7,-33,-,0,0,SRV/REGISTERED,NORMAL_SERVICE,CONNECTED,CS_PS,22.8,-28,e038356d,27.177.169.226,-59,4,4.50E+14,1227091531,168223,377452435,1273504625,255580,0,0,0,65535,-526
20220831T042939,1350,19350,RXTX,3,20,45005,6454,4377-55(447),0,640,-59,-7,-33,-,0,0,SRV/REGISTERED,NORMAL_SERVICE,CONNECTED,CS_PS,24,-26,e038356d,27.177.169.226,-59,4,4.50E+14,1227091531,170553,377452432,1273504629,255590,0,0,0,65535,-510
20220831T042941,1350,19350,RXTX,3,20,45005,6454,4377-55(447),0,640,-59,-7,-33,-,0,0,SRV/REGISTERED,NORMAL_SERVICE,CONNECTED,CS_PS,29.2,-25,e038356d,27.177.169.226,-59,4,4.50E+14,1227091531,172551,377452430,1273504631,255570,0,0,0,65535,-530
20220831T042943,1350,19350,RXTX,3,20,45005,6454,4377-55(447),0,640,-59,-7,-33,-,0,0,SRV/REGISTERED,NORMAL_SERVICE,CONNECTED,CS_PS,29.2,-27,e038356d,27.177.169.226,-59,4,4.50E+14,1227091531,174551,377452428,1273504633,255570,0,0,0,65535,-533
20220831T042945,1350,19350,RXTX,3,20,45005,6454,4377-55(447),0,640,-59,-7,-33,-,0,0,SRV/REGISTERED,NORMAL_SERVICE,CONNECTED,CS_PS,29,-26,e038356d,27.177.169.226,-59,4,4.50E+14,1227091531,176881,377452429,1273504635,255560,0,0,0,65535,-540
20220831T042947,1350,19350,RXTX,3,20,45005,6454,4377-55(447),0,640,-59,-7,-33,-,0,0,SRV/REGISTERED,NORMAL_SERVICE,CONNECTED,CS_PS,29.2,-42,e038356d,27.177.169.226,-59,4,4.50E+14,1227091531,178878,377452430,1273504636,255560,0,0,0,65535,-543
20220831T042950,1350,19350,RXTX,3,20,45005,6454,4377-55(447),0,640,-59,-7,-33,-,0,0,SRV/REGISTERED,NORMAL_SERVICE,CONNECTED,CS_PS,29.2,-26,e038356d,27.177.169.226,-59,4,4.50E+14,1227091531,181210,377452433,1273504638,255520,0,0,0,65535,-583
20220831T042952,1350,19350,RXTX,3,20,45005,6454,4377-55(447),0,640,-59,-7,-33,-,0,0,SRV/REGISTERED,NORMAL_SERVICE,CONNECTED,CS_PS,27.8,-12,e038356d,27.177.169.226,-59,4,4.50E+14,1227091531,183208,377452438,1273504637,255520,0,0,0,65535,-589
20220831T042954,1350,19350,RXTX,3,20,45005,6454,4377-55(447),0,640,-59,-7,-33,-,0,0,SRV/REGISTERED,NORMAL_SERVICE,CONNECTED,CS_PS,27,-27,e038356d,27.177.169.226,-59,4,4.50E+14,1227091531,185538,377452446,1273504637,255520,0,0,0,65535,-589
20220831T042956,1350,19350,RXTX,3,20,45005,6454,4377-55(447),0,640,-59,-7,-33,-,0,0,SRV/REGISTERED,NORMAL_SERVICE,CONNECTED,CS_PS,27,-10,e038356d,27.177.169.226,-59,4,4.50E+14,1227091531,187538,377452452,1273504635,255460,0,0,0,65535,-642
20220831T042958,1350,19350,RXTX,3,20,45005,6454,4377-55(447),0,640,-59,-7,-33,-,0,0,SRV/REGISTERED,NORMAL_SERVICE,CONNECTED,CS_PS,26.8,-19,e038356d,27.177.169.226,-59,4,4.50E+14,1227091531,189535,377452461,1273504635,255500,0,0,0,65535,-605
20220831T043000,1350,19350,RXTX,3,20,45005,6454,4377-55(447),0,640,-59,-7,-33,-,0,0,SRV/REGISTERED,NORMAL_SERVICE,CONNECTED,CS_PS,29.4,-15,e038356d,27.177.169.226,-59,4,4.50E+14,1227091531,191866,377452471,1273504635,255490,0,0,0,65535,-613
20220831T043002,1350,19350,RXTX,3,20,45005,6454,4377-55(447),0,640,-59,-7,-33,-,0,0,SRV/REGISTERED,NORMAL_SERVICE,CONNECTED,CS_PS,28.2,-26,e038356d,27.177.169.226,-59,4,4.50E+14,1227091531,193863,377452478,1273504635,255510,0,0,0,65535,-590
20220831T043004,1350,19350,RXTX,3,20,45005,6454,4377-55(447),0,640,-59,-7,-33,-,0,0,SRV/REGISTERED,NORMAL_SERVICE,CONNECTED,CS_PS,28.2,-27,e038356d,27.177.169.226,-59,4,4.50E+14,1227091531,196196,377452486,1273504636,255520,0,0,0,65535,-582
20220831T043007,1350,19350,RXTX,3,20,45005,6454,4377-55(447),0,640,-59,-7,-33,-,0,0,SRV/REGISTERED,NORMAL_SERVICE,CONNECTED,CS_PS,27.6,-26,e038356d,27.177.169.226,-59,4,4.50E+14,1227091531,198193,377452490,1273504636,255480,0,0,0,65535,-623
20220831T043009,1350,19350,RXTX,3,20,45005,6454,4377-55(447),0,640,-59,-7,-33,-,0,0,SRV/REGISTERED,NORMAL_SERVICE,CONNECTED,CS_PS,29.6,-28,e038356d,27.177.169.226,-59,4,4.50E+14,1227091531,200523,377452497,1273504638,255480,0,0,0,65535,-625
20220831T043011,1350,19350,RXTX,3,20,45005,6454,4377-55(447),0,640,-59,-7,-33,-,0,0,SRV/REGISTERED,NORMAL_SERVICE,CONNECTED,CS_PS,29.6,-25,e038356d,27.177.169.226,-59,4,4.50E+14,1227091531,202523,377452505,1273504637,255510,0,0,0,65535,-596
20220831T043013,1350,19350,RXTX,3,20,45005,6454,4377-55(447),0,640,-59,-7,-33,-,0,0,SRV/REGISTERED,NORMAL_SERVICE,CONNECTED,CS_PS,30,-27,e038356d,27.177.169.226,-59,4,4.50E+14,1227091531,204520,377452515,1273504637,255560,0,0,0,65535,-543
20220831T043015,1350,19350,RXTX,3,20,45005,6454,4377-55(447),0,640,-59,-7,-33,-,0,0,SRV/REGISTERED,NORMAL_SERVICE,CONNECTED,CS_PS,29,-28,e038356d,27.177.169.226,-59,4,4.50E+14,1227091531,206851,377452525,1273504633,255550,0,0,0,65535,-551
20220831T043017,1350,19350,RXTX,3,20,45005,6454,4377-55(447),0,640,-59,-7,-33,-,0,0,SRV/REGISTERED,NORMAL_SERVICE,CONNECTED,CS_PS,29.4,-25,e038356d,27.177.169.226,-59,4,4.50E+14,1227091531,208848,377452535,1273504631,255500,0,0,0,65535,-602
20220831T043020,1350,19350,RXTX,3,20,45005,6454,4377-55(447),0,640,-59,-7,-33,-,0,0,SRV/REGISTERED,NORMAL_SERVICE,CONNECTED,CS_PS,29.4,-25,e038356d,27.177.169.226,-59,4,4.50E+14,1227091531,211181,377452546,1273504627,255510,0,0,0,65535,-591
20220831T043022,1350,19350,RXTX,3,20,45005,6454,4377-55(447),0,640,-59,-7,-33,-,0,0,SRV/REGISTERED,NORMAL_SERVICE,CONNECTED,CS_PS,26.4,-27,e038356d,27.177.169.226,-59,4,4.50E+14,1227091531,213178,377452554,1273504623,255480,0,0,0,65535,-627
20220831T043024,1350,19350,RXTX,3,20,45005,6454,4377-55(447),0,640,-59,-7,-33,-,0,0,SRV/REGISTERED,NORMAL_SERVICE,CONNECTED,CS_PS,26.2,-26,e038356d,27.177.169.226,-59,4,4.50E+14,1227091531,215508,377452564,1273504617,255490,0,0,0,65535,-615
20220831T043026,1350,19350,RXTX,3,20,45005,6454,4377-55(447),0,640,-59,-7,-33,-,0,0,SRV/REGISTERED,NORMAL_SERVICE,CONNECTED,CS_PS,26.2,-26,e038356d,27.177.169.226,-59,4,4.50E+14,1227091531,217506,377452568,1273504613,255470,0,0,0,65535,-633
20220831T043028,1350,19350,RXTX,3,20,45005,6454,4377-55(447),0,640,-59,-7,-33,-,0,0,SRV/REGISTERED,NORMAL_SERVICE,CONNECTED,CS_PS,24,-24,e038356d,27.177.169.226,-59,4,4.50E+14,1227091531,219506,377452569,1273504608,255440,0,0,0,65535,-664
20220831T043030,1350,19350,RXTX,3,20,45005,6454,4377-55(447),0,640,-59,-7,-33,-,0,0,SRV/REGISTERED,NORMAL_SERVICE,CONNECTED,CS_PS,29.6,-12,e038356d,27.177.169.226,-59,4,4.50E+14,1227091531,221835,377452571,1273504601,255450,0,0,0,65535,-655
20220831T043032,1350,19350,RXTX,3,20,45005,6454,4377-55(447),0,640,-59,-7,-33,-,0,0,SRV/REGISTERED,NORMAL_SERVICE,CONNECTED,CS_PS,29.6,-26,e038356d,27.177.169.226,-59,4,4.50E+14,1227091531,223833,377452571,1273504595,255460,0,0,0,65535,-649
20220831T043034,1350,19350,RXTX,3,20,45005,6454,4377-55(447),0,640,-59,-7,-33,-,0,0,SRV/REGISTERED,NORMAL_SERVICE,CONNECTED,CS_PS,29.6,-25,e038356d,27.177.169.226,-59,4,4.50E+14,1227091531,226166,377452568,1273504587,255470,0,0,0,65535,-635
